,quote,author,category,quote_norm
6898,"Fake people talk about other people being fake. Real people worry about their business, and no one else's.","Ziad K. Abdelnour, Economic Warfare: Secrets of Wealth Creation in the Age of Welfare Politics","fake, real","Fake people talk about other people being fake. Real people worry about their business, and no one else's."
6899,"Tommy and Scootie locked eyes. Only minutes ago, he wouldn't have believed that he could ever have felt such a kinship with the Labrador as he felt now.","Dean Koontz, Tick Tock","dogs, friendship, humour, panic, running","Tommy and Scootie locked eyes. Only minutes ago, he would not have believed that he could ever have felt such a kinship with the Labrador as he felt now."
6900,Begin by seizing something which your opponent holds dear, then he will be amenable to your will.,"Sun Tzu, The Art of War",Begin by seizing something which your opponent holds dear
6901,"By giving the public a rich and full melody, distinctly arranged and well played, all the time creating new tone colors and patterns, I feel we have a better chance of being successful. I want a kick to my band, but I don't want the rhythm to hog the spotlight.",Glenn Miller,"Time, Colors, Giving ","By giving the public a rich and full melody, distinctly arranged and well played, all the time creating new tone colors and patterns, I feel we have a better chance of being successful. I want a kick to my band, but I do not want the rhythm to hog the spotlight."
6902,"To get matured, you must have an education in the School of Solitude!",Mehmet Murat ildan,"education, get-matured, mature, matured, school, solitude","To get matured, you must have an education in the School of Solitude!"
6903,"Life is a battle of balance.Balance between attachment and detachment. Attach yourself enough, to feel the ""Pain in others"".Detach yourself enough, not to feel the ""Paininflicted by others”.",Wordions,"battle-of-balance, life, pain, wordions, wordions-com","Life is a battle of balance.Balance between attachment and detachment. Attach yourself enough, to feel the ""Pain in others"".Detach yourself enough, not to feel the ""Paininflicted by others."
6904,"Allaah Tabaraka wa Ta`Ala {The Absolute Divine UnNamed} DOES NOT test to ""See"" if you're worthy of Jannaah or Jahannam ! If only one can perceive this, one knows it is one that places oneself in either station !!",AainaA-Ridtz,"divine, divinity-within, heaven, hell, life, unicity, unity","Allaah Tabaraka wa TaAla The Absolute Divine UnNamed DOES NOT test to ""See"" if you are worthy of Jannaah or Jahannam ! If only one can perceive this, one knows it is one that places oneself in either station !!"
6905,"Every time we start thinking we're the center of the universe, the universe turns around and says with a slightly distracted air, 'I'm sorry. What'd you say your name was again?","Margaret Maron, Bootlegger's Daughter","humor, wisdom","Every time we start thinking we are the center of the universe, the universe turns around and says with a slightly distracted air, 'I am sorry. What did you say your name was again?"
6906,"Men may be the head of the house, but the women are the neck, and they can turn the head any way they want.","Debra Ollivier, What French Women Know  About Love, Sex and Other Matters of the Heart and Mind","gender, household, love, man-and-women, romance","Men may be the head of the house, but the women are the neck, and they can turn the head any way they want."
6907,"You have a very high probability of your quote and your name being distributed, posted, and shared around the world!","Ken Poirot, Go Viral!: The Social Media Secret to Get Your Name Posted and Shared All Over the World!","author-ken-poirot, distributed-in-social-media, distributed-online, distributed-through-the-internet, go-viral, go-viral-book, high, high-probability, internet-post, internet-postings, ken-poirot, ken-poirot-quote, ken-poirot-quotes, marketing, marketing-advice, marketing-and-promotion, marketing-consultant, marketing-expert, marketing-quote, marketing-quotes, name-distributed, name-distributed-aroud-the-world, name-posted, name-shared, online-post, online-postings, post, posted-in-social-media, probability, probability-quote, probability-quotes, probability-theory, quote, quote-shared-around-the-world, quotes, shared-around-the-world, shared-in-social-media, shared-online, social-media-posting, viral-content, viral-quote, viral-quotes, world-distribution, worldwide, worldwide-distribution, your-quote, your-quotes","You have a very high probability of your quote and your name being distributed, posted, and shared around the world!"
6908,"God doesn't want your careful virtue, He wants your reckless generosity.","Francis Spufford, Unapologetic: Why, despite everything, Christianity can still make surprising emotional sense",memoir,"God does not want your careful virtue, He wants your reckless generosity."
6909,"I get to leave here and do what I love, whether I win or lose. And that seems to matter more than anything else.","Kelly Fiore Stultz, Taste Test","dreams, winning","I get to leave here and do what I love, whether I win or lose. And that seems to matter more than anything else."
6910,"Sometimes,well,all the time,I can't think of what to say because I'm so dumb and stuff,and then maybe I think of it like five days later.","Catherine Gilbert Murdock, Dairy Queen",different,"Sometimes,well,all the time,I cannot think of what to say because I am so dumb and stuff,and then maybe I think of it like five days later."
6911,I can look beyond the cloudsto feel your lovethe sun will rise againto end the darkness,"April Nichole, Lifting My Hands to Heaven","faith, poetry, religious",I can look beyond the cloudsto feel your lovethe sun will rise againto end the darkness
6912,"... I hadn't been paying attention to things like the sunrise, but that old sun had been coming up anyway. It didn't really care how I felt, it was going to rise and set regardless of whether I noticed it, and if I was going to enjoy it, that was up to me.",Jeanette Walls,"emotional-recovery, grief, joy, sunrise","... I had not been paying attention to things like the sunrise, but that old sun had been coming up anyway. It did not really care how I felt, it was going to rise and set regardless of whether I noticed it, and if I was going to enjoy it, that was up to me."
6913,"A few feathery flakes are scattered widely through the air, and hover downward with uncertain flight, now almost alighting on the earth, now whirled again aloft into remote regions of the atmosphere.",Nathaniel Hawthorne,"snow, winter","A few feathery flakes are scattered widely through the air, and hover downward with uncertain flight, now almost alighting on the earth, now whirled again aloft into remote regions of the atmosphere."
6914,The degree of your desire determines your dedication.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","achievement, daring, dedication, desires, determination, dont-quit, dream, education, encouragement, faith, fearless, greatness, hard-work, hope, inspirational, learning, never-give-up, perseverance, self-help, self-motivation, success, wishes",The degree of your desire determines your dedication.
6915,Grab the broom of anger and drive off the beast of fear.,Zora Neale Hurston,"Anger, Drive, Beast ",Grab the broom of anger and drive off the beast of fear.
6916,I'm numb and I'm tired. Too much has happened today. I feel as if I'd been out in a pounding rain for forty-eight hours without an umbrella or a coat. I'm soaked to the skin with emotion.,"Ray Bradbury, The Martian Chronicles",emotion,I am numb and I am tired. Too much has happened today. I feel as if I would been out in a pounding rain for forty-eight hours without an umbrella or a coat. I am soaked to the skin with emotion.
6917,"A ruse. That's all it was. Pretend to like this girl. Pretend to have feelings, to pursue some kind of relationship. Earn her friendship and trust, knowing I might have to destroy it, and her, in the end.","Julie Kagawa, Talon",dragons,"A ruse. That is all it was. Pretend to like this girl. Pretend to have feelings, to pursue some kind of relationship. Earn her friendship and trust, knowing I might have to destroy it, and her, in the end."
6918,"I have always regarded as a stroke of good fortune that I was not born or brought up in a small American town; they may be the backbone of the nation, but they are also the backbone of ignorance, bigotry, and boredom, all in vast quantities.","Gore Vidal, Death Before Bedtime","america, americans, ignorance, murica, society-thinking","I have always regarded as a stroke of good fortune that I was not born or brought up in a small American town; they may be the backbone of the nation, but they are also the backbone of ignorance, bigotry, and boredom, all in vast quantities."
6919,Never lose hope.Never lose faith.,"Lailah Gifty Akita, Pearls of  Wisdom: Great  mind","courage-quotes, courage-to-be-oneself, despair, despair-hope, dont-quit, dont-worry, encouragement-quotes, faith-in-god, faith-quotes, hope-and-faith, hope-for-each-day, hopeful-and-encouraging, hopeful-heart, hopeful-quotes, hopes, inspirational-quotes, never-giving-up",Never lose hope.Never lose faith.
6920,Superstition is the poetry of life.,Johann Wolfgang von Goethe,"Life, Superstition ",Superstition is the poetry of life.
6921,"Almost every economist agrees that the American health care system is unsustainable. Medical care is so expensive that it is busting all of our budgets - government, business, and personal. Eventually, the medical price bubble will pop. What, then, are the alternatives?",Jim Cooper,"Health, Medical, Government ","Almost every economist agrees that the American health care system is unsustainable. Medical care is so expensive that it is busting all of our budgets - government, business, and personal. Eventually, the medical price bubble will pop. What, then, are the alternatives?"
6922,"Love has no monetary value, but life has no value without love.",Debasish Mridha,"education, happiness, hope, inspirational, intelligence, knowledge, life, love, philosophy, quotes, truth, wisdom","Love has no monetary value, but life has no value without love."
6923,"I liked you, cop. From the moment I met you. No… not the first moment. I wanted to kill you when I first met you. But then I liked you. A lot.","J.R. Ward, Lover Revealed",humor,"I liked you, cop. From the moment I met you. No... not the first moment. I wanted to kill you when I first met you. But then I liked you. A lot."
6924,"One of the differences between some successful and unsuccessful people is that one group is full of doers, while the other is full of wishers.",,"doers, edmond-mbiaka, individuals, successful-people, unsuccessful-people, wishers","One of the differences between some successful and unsuccessful people is that one group is full of doers, while the other is full of wishers."
6925,"I may not want your help, but I always want you beside me.",Debasish Mridha,"debasish-mridha, debasish-mridha-md, help, helping-someone, i-want-you-beside-me, inspirational, philosophy, quotes, want-your-help","I may not want your help, but I always want you beside me."
6926,"The author writes that key FDR aide Harry Hopkins was in such poor health near the end of his boss's second term that one observer said he didn't know how Hopkins could possibly report to the president. But, at the onset of war and genuine national emergency, Hopkins was animated with a new sense of purpose.","Doris Kearns Goodwin, No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II","discipleship, humility, ministry, mission, self-forgetfulness","The author writes that key FDR aide Harry Hopkins was in such poor health near the end of his boss's second term that one observer said he did not know how Hopkins could possibly report to the president. But, at the onset of war and genuine national emergency, Hopkins was animated with a new sense of purpose."
6927,"I wanted to do two things when I was growing up, about your age. I wanted to play in the NBA, and I wanted to be a businessman after my basketball career was over, and that is what I am doing now.",Magic Johnson,"I Am, Growing Up, Play ","I wanted to do two things when I was growing up, about your age. I wanted to play in the NBA, and I wanted to be a businessman after my basketball career was over, and that is what I am doing now."
6928,"Through every generation of the human race there has been a constant war, a war with fear. Those who have the courage to conquer it are made free and those who are conquered by it are made to suffer until they have the courage to defeat it, or death takes them.",Alexander the Great,"bravery, courage, death, fear","Through every generation of the human race there has been a constant war, a war with fear. Those who have the courage to conquer it are made free and those who are conquered by it are made to suffer until they have the courage to defeat it, or death takes them."
6929,"Roses are picked every day, they are told that they will be better off sold in the flower shoppe. And so they go from the hands of the picker; to the hands of the delivery man; to the hands of the florist; to the hands of the customer; and then often to the hands of the final recipient of the rose. From field, cut by scissors and passed from hand to hand. The world has forgotten that it is okay for roses to be in fields, the world has forgotten the beauty of the rose uncut. The bouquet is praised and given away but the wild roses are forgotten. People have forgotten what “wild” means; they think it means something entirely different. The wild rose remains untouched, with roots and swayed by the meadow winds. And that is wild. I am wild for having roots and for being untouched and for seeing things that people have forgotten. And I will always remember— that it is okay to be uncut, that it is okay to be untouched by darkness, it is okay to be wild.",C. JoyBell C.,"appreciating-innocence, freedom-to-be-safe, inspirational-living, inspirational-quotes, purity, the-freedom-of-safety, the-meaning-of-wild, the-value-of-purity, the-value-of-safety, true-wildness, uncut-roses, untouched, wild-roses, wisdom-quotes","Roses are picked every day, they are told that they will be better off sold in the flower shoppe. And so they go from the hands of the picker; to the hands of the delivery man; to the hands of the florist; to the hands of the customer; and then often to the hands of the final recipient of the rose. From field, cut by scissors and passed from hand to hand. The world has forgotten that it is okay for roses to be in fields, the world has forgotten the beauty of the rose uncut. The bouquet is praised and given away but the wild roses are forgotten. People have forgotten what wild means; they think it means something entirely different. The wild rose remains untouched, with roots and swayed by the meadow winds. And that is wild. I am wild for having roots and for being untouched and for seeing things that people have forgotten. And I will always remember that it is okay to be uncut, that it is okay to be untouched by darkness, it is okay to be wild."
6930,The best... measure of innovation is change in human behavior.,Stuart Butterfield,"human-behavior, innovation",The best... measure of innovation is change in human behavior.
6931,wesat theresmokingcigarettesat5in the morning.,"Charles Bukowski, The Pleasures of the Damned","5-in-the-morning, charles-bukowski, poem, smoking, we, we-sat-there",wesat theresmokingcigarettesat5in the morning.
6932,"We're growing up,"" Betsy said aloud. She wasn't even sure she liked it. But it happened, and then it wasn't irrevocable. There was nothing you could do about it except try and see that you grew up into the kind of human being you wanted to be. ""I'd like to be a fine one,"" Betsy thought quickly and urgently.",Maud Hart Lovelace,growing-up,"We are growing up,"" Betsy said aloud. She was not even sure she liked it. But it happened, and then it was not irrevocable. There was nothing you could do about it except try and see that you grew up into the kind of human being you wanted to be. ""I would like to be a fine one,"" Betsy thought quickly and urgently."
6933,"I think it's best if there's an amendment that goes on the ballot where the people can weigh in. Every time this issue has gone on the ballot, the people have voted to retain the traditional definition of marriage as recently as California in 2008.",Michele Bachmann,"Time, Best, People ","I think it is best if there is an amendment that goes on the ballot where the people can weigh in. Every time this issue has gone on the ballot, the people have voted to retain the traditional definition of marriage as recently as California in 2008."
6934,"Any time you end a relationship, and everyone has ended plenty in their life, it's always a tough thing and hard to get over.",Adam Brody,"Life, Time, Relationship ","Any time you end a relationship, and everyone has ended plenty in their life, it is always a tough thing and hard to get over."
6935,Arguably insane utility workers that blatantly harass law abiding customers is likely to become more frequent as the long term effects of biologically toxic radio frequency (RF) radiation exposures from their transmitting smart meters continues to emerge.,Steven Magee,"abiding, arguably, biologically, blatantly, continues, customers, effects, emerge, exposures, frequency, frequent, harass, harassing, harassment, insane, law, likely, long, meters, more, radiation, radiation-effects, radio, rf, smart, term, toxic, transmitting, utility, workers",Arguably insane utility workers that blatantly harass law abiding customers is likely to become more frequent as the long term effects of biologically toxic radio frequency RF radiation exposures from their transmitting smart meters continues to emerge.
6936,Kiss is another physical gesture if it doesn't touch your soul.,"Pushpa Rana, Just the Way I Feel","gesture, kiss, kisses, physical, soul, touch",Kiss is another physical gesture if it does not touch your soul.
6937,"Things happen, and nothing is for sure, but you just have to keep going, believing that one day, you'll find something that is.","A.J. Darkholme, Rise of the Morningstar","belief, certainty, fate, hope, hopeless, life, perseverance, self-awareness, self-doubt, uncertain","Things happen, and nothing is for sure, but you just have to keep going, believing that one day, you will find something that is."
6938,"Economist Marvin Harris described women as a ""literate and docile"" labor pool, and ""therefore desirable candidates for the information- and people-processing jobs thrown up by modern service industries."" The qualities that best serve employers in such a labor pool's workers are: low self-esteem, a tolerance for dull repetitive tasks, lack of ambition, high conformity, more respect for men (who manage them) than women (who work beside them), and little sense of control over their lives.","Naomi Wolf, The Beauty Myth","feminism, too-real","Economist Marvin Harris described women as a ""literate and docile"" labor pool, and ""therefore desirable candidates for the information- and people-processing jobs thrown up by modern service industries."" The qualities that best serve employers in such a labor pool's workers are: low self-esteem, a tolerance for dull repetitive tasks, lack of ambition, high conformity, more respect for men who manage them than women who work beside them, and little sense of control over their lives."
6939,"Confession is good for the soul, it empties the spirit making more room for sin.","Trevanian, Shibumi",humorous,"Confession is good for the soul, it empties the spirit making more room for sin."
6940,You were sent to unite peopleYou were not sent to divide people.,Jalaluddin Rumi,"humanity, peace, peacefulcoexistence, peacefulness, unity",You were sent to unite peopleYou were not sent to divide people.
6941,"Hubert's wife, Mindy, was a tiny powerhouse of a woman with a halo of wild blond hair and eye makeup so complex it took me a while to locate her pupils. She was clearly the brains of the operation, such as she was.","Molly Harper, A Witch's Handbook of Kisses and Curses","contemporary-comedy, magic, shifters, vampires, witches","Hubert's wife, Mindy, was a tiny powerhouse of a woman with a halo of wild blond hair and eye makeup so complex it took me a while to locate her pupils. She was clearly the brains of the operation, such as she was."
6942,...nothing helps a lie float like a hopeful listener.,"Joshilyn Jackson, The Opposite of Everyone","deception, hope, lies",...nothing helps a lie float like a hopeful listener.
6943,Learning never exhausts the mind.,Leonardo da Vinci,learning,Learning never exhausts the mind.
6944,"And yet, wasn't the terrific thing about stories the fact that they joined readers together, that they made people realize they were not alone in their hopes, dreams, and fears?","Adam Langer, The Salinger Contract","readers, stories","And yet, was not the terrific thing about stories the fact that they joined readers together, that they made people realize they were not alone in their hopes, dreams, and fears?"
6945,I don't have a hot date. I don't even have a lukewarm date.,"Sarah Morgan, Miracle on 5th Avenue","funny, humor, humurous-quote, sarah-morgan",I do not have a hot date. I do not even have a lukewarm date.
6946,"A brainstorm about the difference between rain and brain: a b, although both are juicy like water... but if it rained in the brain would that mean that ocurred a brainwash? and if so what would be the cure for that?? That's rough for sure. But if the rain plays mainly in the land would it land instead of fail to fall?? What's the meaning of it all? i'm a brainiac with some brainy thoughts..",Ana Claudia Antunes,"brain, brainiac, brainstorm, brainstorming, brainwashing, brainy, brainy-quote, land, rain, raining, thinking, thought-provoking, thoughts, thoughts-of-the-mind","A brainstorm about the difference between rain and brain: a b, although both are juicy like water... but if it rained in the brain would that mean that ocurred a brainwash? and if so what would be the cure for that?? That is rough for sure. But if the rain plays mainly in the land would it land instead of fail to fall?? What is the meaning of it all? i am a brainiac with some brainy thoughts.."
6947,"If you've ever read one of those articles that asks notable people to list their favorite books, you may have been impressed or daunted to see them pick Proust or Thomas Mann or James Joyce. You might even feel sheepish about the fact that you reread Pride and Prejudice or The Lord of the Rings, or The Catcher in the Rye or Gone With the Wind every couple of years with some much pleasure. Perhaps, like me, you're even a little suspicious of their claims, because we all know that the books we've loved best are seldom the ones we esteem the most highly - or the ones we'd most like other people to think we read over and over again.","Laura Miller, The Magician's Book: A Skeptic's Adventures in Narnia","books, lit, reading","If you have ever read one of those articles that asks notable people to list their favorite books, you may have been impressed or daunted to see them pick Proust or Thomas Mann or James Joyce. You might even feel sheepish about the fact that you reread Pride and Prejudice or The Lord of the Rings, or The Catcher in the Rye or Gone With the Wind every couple of years with some much pleasure. Perhaps, like me, you are even a little suspicious of their claims, because we all know that the books we have loved best are seldom the ones we esteem the most highly - or the ones we would most like other people to think we read over and over again."
6948,"I remember tap-dancing and singing in front of the TV when I was a kid, telling my dad to stop watching Ed Sullivan or Milton Berle and watch me.",Andie MacDowell,"Me, Singing, Remember ","I remember tap-dancing and singing in front of the TV when I was a kid, telling my dad to stop watching Ed Sullivan or Milton Berle and watch me."
6949,The tragedy of sexual intercourse is the perpetual virginity of the soul.,W.B. Yeats,sex,The tragedy of sexual intercourse is the perpetual virginity of the soul.
6950,"It takes years and maturity to make the discovery that the power of faith is nobler than the power of doubt; and that there is a celestial wisdom in the ingenuous propensity to trust, which belongs to honest and noble natures.","Harriet Beecher Stowe, The Pearl of Orr's Island: A Story of the Coast of Maine","doubt, faith, trust","It takes years and maturity to make the discovery that the power of faith is nobler than the power of doubt; and that there is a celestial wisdom in the ingenuous propensity to trust, which belongs to honest and noble natures."
6951,"For god sake to live in awesome,cool place you should have rules in your right hand and on the left hand you should have a program which can run based on this rules.",Deyth Banger,"for, god, live","For god sake to live in awesome,cool place you should have rules in your right hand and on the left hand you should have a program which can run based on this rules."
6952,"In communications, familiarity breeds apathy.",William Bernbach,"Apathy, Familiarity ","In communications, familiarity breeds apathy."
6953,"I knew from experience that no matter how much you turn things in your head, trying to make sense of them, some people just defy all logic.","Sarah Dessen, Keeping the Moon","experience, human-nature, logic","I knew from experience that no matter how much you turn things in your head, trying to make sense of them, some people just defy all logic."
6954,"When Benedict dies, he will have the pleasure of standing before whatever furious God he believes in, to answer for how it was that he knew for undeniable fact that one -- if not dozens -- of his priests repeatedly molested, abused and/or raped young children for decades, and he did nothing to stop it. How much does God believe the pope's argument that Vatican PR trumps pedophilia? Joe Ratzinger, 82, will soon find out.",Mark Morford,"catholic, catholicism, child-abuse, joseph-ratzinger","When Benedict dies, he will have the pleasure of standing before whatever furious God he believes in, to answer for how it was that he knew for undeniable fact that one -- if not dozens -- of his priests repeatedly molested, abused andor raped young children for decades, and he did nothing to stop it. How much does God believe the pope's argument that Vatican PR trumps pedophilia? Joe Ratzinger, 82, will soon find out."
6955,Spread the good and it will return to you. Spread the bad and it will return to you. Choice is yours what you want to receive.,Ambreen Ali,"choice, good",Spread the good and it will return to you. Spread the bad and it will return to you. Choice is yours what you want to receive.
6956,"When your heart aligns with the truth of its energy, GRATITUDE sings your name, LOVE flows freely, and every bit of your being is awakened, breathing and moving in perfect HARMONY.",Angie karan,"awakening, energy, flow, gratitude, harmony, love, when-your-heart-aligns","When your heart aligns with the truth of its energy, GRATITUDE sings your name, LOVE flows freely, and every bit of your being is awakened, breathing and moving in perfect HARMONY."
6957,"If Heaven actually exists, I don't need anyone to be my real estate broker. After all, what is religion but an attempt to sell you a share in the ultimate gated community?",Quentin R. Bufogle,"atheism, religion","If Heaven actually exists, I do not need anyone to be my real estate broker. After all, what is religion but an attempt to sell you a share in the ultimate gated community?"
6958,Respect yourself if you would have others respect you.,Baltasar Gracian,"Yourself, You, Others ",Respect yourself if you would have others respect you.
6959,"I found God, he lives in an atom.",Debasish Mridha,"atom, debasish-mridha, debasish-mridha-m-d, god, i-found-god, inspirational, philosophy, quotes","I found God, he lives in an atom."
6960,"Relax, refresh and revive your spirituality.","Lailah Gifty Akita, Think Great: Be Great!","motivational, positive-thinking, spiritual, wisdom-of-lailah-gifty-akita","Relax, refresh and revive your spirituality."
6961,"I laughed as we turned in a tight circle... ""Tonight you're all mine.""Jake smiled but looked me dead in the eye. ""No. From now on.""My heart skipped. ""What?""""Yours,"" he said simply, ""from now on.","Kieran Scott, She's So Dead to Us","love, romance, sweet","I laughed as we turned in a tight circle... ""Tonight you are all mine.""Jake smiled but looked me dead in the eye. ""No. From now on.""My heart skipped. ""What?""""Yours,"" he said simply, ""from now on."
6962,"In the environmental movement, every time you lose a battle it's for good, but our victories always seem to be temporary and we keep fighting them over and over again.",David Suzuki,"Time, Good, Battle ","In the environmental movement, every time you lose a battle it is for good, but our victories always seem to be temporary and we keep fighting them over and over again."
6963,"Parents are labelling, criticizing and reproaching the child on any account",Sunday Adelaja,"account, calling, child, criticizing, goal, labelling, life, mission, parents, purpose, reproaching","Parents are labelling, criticizing and reproaching the child on any account"
6964,"It is only through dialogue, deep listening, and passionate disagreement that we find our way to something larger than a singular and isolated point of view.","Henry Kimsey-House, Co-Active Leadership: Five Ways to Lead","dialogue, disagreement, leadership, leadership-development, listening, point-of-view","It is only through dialogue, deep listening, and passionate disagreement that we find our way to something larger than a singular and isolated point of view."
6965,They told me there was very little racial prejudice in Hawaii. Like a woman is just a little bit pregnant.,"Dick Gregory, Nigger","prejudice, racism",They told me there was very little racial prejudice in Hawaii. Like a woman is just a little bit pregnant.
6966,"Vision is perhaps our greatest strength... it has kept us alive to the power and continuity of thought through the centuries, it makes us peer into the future and lends shape to the unknown.",Li Ka-shing,"Future, Power, Vision ","Vision is perhaps our greatest strength... it has kept us alive to the power and continuity of thought through the centuries, it makes us peer into the future and lends shape to the unknown."
6967,"We have All our own Way and Thoughts about Life, please wake up",Jan Jansen,thoughts,"We have All our own Way and Thoughts about Life, please wake up"
6968,"It's not rocking the boat, Dad. It's called communication. You're allowed to ask questions. Other people do it all the time. Other people don't live in fear of someone else's reactions. They don't relentlessly stress out about getting into trouble.","Koren Zailckas, Mother, Mother","abuse, abusive-relationships, communication-skills","It is not rocking the boat, Dad. It is called communication. You are allowed to ask questions. Other people do it all the time. Other people do not live in fear of someone else's reactions. They do not relentlessly stress out about getting into trouble."
6969,A good example is far better than a good precept.,Dwight L. Moody,"Better, Precept, Example ",A good example is far better than a good precept.
6970,Sonetimes the hardest person to forgive is yourself.,Sarah Sundin,"historical-fiction, romance, world-war-two",Sonetimes the hardest person to forgive is yourself.
6971,The essence of fascism is to make laws forbidding everything and then enforce them selectively against your enemies.,"John Lescroart, A Plague of Secrets","enemies, fascism, laws",The essence of fascism is to make laws forbidding everything and then enforce them selectively against your enemies.
6972,"What's wrong with the world,"" Nana explained, ""is that people stopped listening to their hearts...  ""Not everybody stopped listening,"" she continued, ""but enough people did to make a difference. We've go so much in this life that all we know how to do is want more. So we concentrate on the wrong things--things we can see--as being the measure of a person. We think if we can win something big or buy something snazzy it'll make us more than we are. Our hearts know that's not true, but the eyes are powerful. It's easier to fix on what we can see than listen to the still, small voice of a whispering heart."" Nana turned her eyes on me like a vet looking for fleas: ""A heart will say amazing things if it's given half a chance.","Joan Bauer, Squashed","advice, listen-to-your-heart, pumkins, wrong-with-the-world","What is wrong with the world,"" Nana explained, ""is that people stopped listening to their hearts... ""Not everybody stopped listening,"" she continued, ""but enough people did to make a difference. We have go so much in this life that all we know how to do is want more. So we concentrate on the wrong things--things we can see--as being the measure of a person. We think if we can win something big or buy something snazzy it will make us more than we are. Our hearts know that is not true, but the eyes are powerful. It is easier to fix on what we can see than listen to the still, small voice of a whispering heart."" Nana turned her eyes on me like a vet looking for fleas: ""A heart will say amazing things if it is given half a chance."
6973,"His hand lay across my stomach as he slept soundly. I entwined my fingers with his and breathed through the warmth that seeped through my chest. Such a simple, sweet thing to do, yet holding hands in bed was incredibly intimate.","N.R. Walker, Spencer Cohen, Book Three","andrew-landon, bed, gay, happiness, happy, holding-hands, intimacy, intimate, lgbt, lgbtq, love, m-m-romance, mm-romance, sleep, spencer-cohen, sweet","His hand lay across my stomach as he slept soundly. I entwined my fingers with his and breathed through the warmth that seeped through my chest. Such a simple, sweet thing to do, yet holding hands in bed was incredibly intimate."
6974,The time is always right for the right thing.,Debasish Mridha,"always-do-the-right-thing, debasish-mridha, debasish-mridha-m-d, do-the-right-thing, inspirational, philosophy, quotes, right-thing, time-is-right",The time is always right for the right thing.
6975,"Ignorance is no excuse, it's the real thing.",Irene Peter,"Ignorance, Real, Excuse ","Ignorance is no excuse, it is the real thing."
6976,"To me, imagination is about breaking down the walls of a reality of multiple interpretations, and truly opening up your mind to assemble one clear interpretation. Once you have tasted imagination, reality will no longer be enough for you. The line between reality and dreams will become blurred, and then clear, because the line will cease to exist. Once you reach the point of living in imagination, you will truly be free.",Lionel Suggs,imagination,"To me, imagination is about breaking down the walls of a reality of multiple interpretations, and truly opening up your mind to assemble one clear interpretation. Once you have tasted imagination, reality will no longer be enough for you. The line between reality and dreams will become blurred, and then clear, because the line will cease to exist. Once you reach the point of living in imagination, you will truly be free."
6977,"That's the sign of a good relationship, when you can pick up a phone and it doesn't matter when the last time you spoke was.",Joe Torre,"Time, Good, You ","That is the sign of a good relationship, when you can pick up a phone and it does not matter when the last time you spoke was."
6978,"My books, my paradise!","Lailah Gifty Akita, Think Great: Be Great!","book, book-lovers, bookshelves, bookshop, college, determined-spirit, educational-philosophy, educational-quotes, imagination, inspirational-quotes, inspiring-thoughts, learner, lifelong-learner, positive, read, reading, self-motivation, wise-words, write","My books, my paradise!"
6979,Worry compounds the futility of being trapped on a dead-end street. Thinking opens new avenues.,Cullen Hightower,worry,Worry compounds the futility of being trapped on a dead-end street. Thinking opens new avenues.
6980,"Everybody lives in this world, except lovers! They live in an isolated small place called ‘You and I’ planet!",Mehmet Murat ildan,turkish-playwrights,"Everybody lives in this world, except lovers! They live in an isolated small place called You and I planet!"
6981,"All men make mistakes, but a good man yields when he knows his course is wrong, and repairs the evil. The only crime is pride.","Sophocles, Antigone","change, character, course, crime, failure, mistakes, pride, yield","All men make mistakes, but a good man yields when he knows his course is wrong, and repairs the evil. The only crime is pride."
6982,"Time is the sole photographer of all the times, from the Big Bang till the possible Big Crunch!",Mehmet Murat ildan,"aforizmalar, big-bang, big-crunch, darbımesel, ildan-sözleri, kelamıkibar, mehmet-murat-ildan, mehmet-murat-ildan-özlü-sözleri, murat-ildan-sözleri, photographer, photographer-quotes, photographs, photography, photography-captions, photography-quote, photography-quotes, türk-edebiyatçıları, türk-edebiyatı, türk-yazar-sözleri, türk-yazar-özdeyişleri, türk-yazarlar, özdeyişler, özlü-sözler","Time is the sole photographer of all the times, from the Big Bang till the possible Big Crunch!"
6983,As I apologized to her a flicker of panic raced through me and then faded away. There wasn't enough life left in me to panic. I'd made a mistake and I was dying. Apparently not even a Speck afterlife was available to me. I'd simply stop being. Apparently I hadn't died correctly. Oops.,"Robin Hobb, Renegade's Magic",death,As I apologized to her a flicker of panic raced through me and then faded away. There was not enough life left in me to panic. I would made a mistake and I was dying. Apparently not even a Speck afterlife was available to me. I would simply stop being. Apparently I had not died correctly. Oops.
6984,"As I was to learn, patience and latitude and even humility are, paradoxically, the handmaidens of wealth, because virtue is costly only for those who own nothing else.","James Lee Burke, Wayfaring Stranger","poverty, virtue, wealth","As I was to learn, patience and latitude and even humility are, paradoxically, the handmaidens of wealth, because virtue is costly only for those who own nothing else."
6985,Lust was edging confusion for the lead. Good sense had fallen far behind.,"Teri Anne Stanley, Drunk on You","bourbon, contemporary-romance, kentucky",Lust was edging confusion for the lead. Good sense had fallen far behind.
